duration,protocol_type,service,flag,src_bytes,dst_bytes,hot,logged_in,count,srv_count,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_same_src_port_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
0,0,47,1,0,0,0,0,229,10,10,0,1,255,10,0,0,10,10
0,0,47,1,0,0,0,0,136,1,10,0,1,255,1,0,0,10,10
2,0,17,9,12983,0,0,0,1,1,0,10,0,134,86,6,6,0,0
0,2,11,9,20,0,0,0,1,65,0,10,0,3,57,10,10,0,0
1,0,58,2,0,15,0,0,1,8,10,10,0,29,86,3,0,8,7
0,0,21,9,267,14515,0,1,4,4,0,10,0,155,255,10,0,0,0
0,0,52,9,1022,387,0,1,1,3,0,10,0,255,28,1,0,7,0
0,0,58,9,129,174,0,0,1,1,0,10,0,255,255,10,0,0,0
0,0,21,9,327,467,0,1,33,47,0,10,0,151,255,10,0,0,0
0,0,16,9,26,157,0,0,1,1,0,10,0,52,26,5,0,0,0
0,0,58,9,0,0,0,0,1,1,0,10,0,255,128,5,0,7,3
0,0,52,9,616,330,0,1,1,2,0,10,0,255,129,5,0,3,0
0,0,47,1,0,0,0,0,111,2,10,0,1,255,2,0,0,10,10
0,0,58,5,0,0,0,0,120,120,0,10,0,235,171,7,0,0,0
37,0,58,9,773,364200,0,1,1,1,0,10,0,38,73,2,0,0,1
0,0,21,9,350,3610,0,1,8,8,0,10,0,71,255,10,0,0,0
0,0,21,9,213,659,0,1,24,24,0,10,0,255,255,10,0,0,0
0,0,21,9,246,2090,0,1,16,16,0,10,0,35,255,10,0,0,0
0,1,47,9,45,44,0,0,505,505,0,10,0,255,255,10,10,0,0
0,0,47,1,0,0,0,0,204,18,10,1,1,255,18,1,0,10,10
0,0,30,1,0,0,0,0,118,19,10,2,0,255,19,1,0,10,10
0,0,45,5,0,0,0,0,1,1,0,10,0,255,87,3,0,0,0
0,0,21,9,196,1823,0,1,17,17,0,10,0,255,255,10,0,0,0
0,0,21,9,277,1816,0,1,17,18,0,10,0,36,255,10,0,0,0
0,0,3,1,0,0,0,0,116,8,10,1,1,255,8,0,0,10,10
0,0,7,2,0,0,0,0,273,13,10,0,1,255,13,0,0,10,10
0,0,21,9,294,6442,0,1,22,46,0,10,0,180,255,10,0,0,0
0,0,21,9,300,440,0,1,7,7,0,10,0,255,255,10,0,0,0
0,2,12,9,520,0,0,0,511,511,0,10,0,46,59,10,10,0,0
0,1,47,9,54,51,0,0,511,511,0,10,0,255,255,10,8,0,0
805,0,21,4,76944,1,0,1,12,12,10,10,0,241,238,10,0,1,1
0,0,52,9,720,281,0,1,1,2,0,10,0,158,82,5,0,0,0
0,0,21,9,301,19794,0,1,15,15,0,10,0,20,255,10,0,0,0
0,1,47,9,1,1,0,0,40,3,0,1,4,255,3,0,10,0,0
0,0,47,1,0,0,0,0,483,1,9,0,10,255,1,0,0,10,10
0,0,25,2,0,44,0,0,2,2,10,5,10,185,59,2,0,9,10
0,0,21,9,209,12894,0,1,11,11,0,10,0,255,255,10,0,0,0
8,0,16,9,220,688,4,1,1,1,0,10,0,53,27,5,0,0,0
0,1,9,9,43,71,0,0,113,113,0,10,0,255,254,10,0,0,0
0,0,17,9,88382,0,0,0,15,15,0,10,0,203,114,4,4,0,0
0,0,47,5,0,0,0,0,144,8,0,1,1,255,8,0,0,0,0
0,0,21,9,277,4968,0,1,13,13,0,10,0,13,255,10,1,0,0
0,0,21,9,321,2715,0,1,29,37,0,10,0,29,255,10,0,0,0
0,0,21,9,335,3228,0,1,49,50,0,10,0,255,255,10,0,0,0
0,0,33,1,0,0,0,0,266,8,10,0,1,255,8,0,0,10,10
0,0,21,9,234,3236,0,1,8,21,0,10,0,255,255,10,0,0,0
0,0,57,5,0,0,0,0,281,6,0,0,1,255,6,0,0,0,0
0,0,21,9,54540,8314,2,1,4,24,0,10,0,255,250,10,0,1,1
0,0,58,5,0,0,0,0,1,12,0,10,0,91,86,3,0,0,0
0,1,47,9,46,45,0,0,68,68,0,10,0,255,255,10,3,0,0
0,0,21,9,318,488,0,1,3,16,0,10,0,3,156,10,3,0,0
0,0,21,9,256,4926,0,1,1,41,0,10,0,255,241,10,0,0,0
0,0,27,1,0,0,0,0,239,7,10,0,1,255,7,0,0,10,10
0,0,47,1,0,0,0,0,201,3,10,0,1,255,3,0,0,10,10
282,0,16,9,160,599,2,1,1,1,0,10,0,255,37,2,0,4,0
0,0,21,9,229,509,0,1,1,1,0,10,0,21,255,10,0,0,0
0,0,25,1,0,0,0,0,280,8,10,0,1,255,8,0,0,10,10
0,1,47,9,105,146,0,0,2,2,0,10,0,9,9,10,1,0,0
7428,0,58,9,0,44,0,0,1,1,0,10,0,255,217,8,0,1,1
0,0,21,9,282,396,0,1,8,8,0,10,0,255,255,10,0,0,0
4,0,45,9,28,93,0,1,1,1,0,10,0,255,249,10,0,0,0
280,0,17,9,283618,0,0,0,2,2,0,10,0,7,10,9,9,0,0
0,0,21,9,233,2239,0,1,3,3,0,10,0,255,197,8,0,0,0
0,0,21,9,257,8712,0,1,2,20,0,10,0,255,255,10,0,0,0
0,0,42,1,0,0,0,0,412,1,8,0,10,255,1,0,0,9,10
0,0,21,9,214,645,0,1,30,30,0,10,0,255,255,10,0,0,0
0,0,58,1,0,0,0,0,4,6,10,2,10,106,85,3,0,9,7
0,0,47,1,0,0,0,0,109,13,10,1,1,255,13,0,0,10,10
0,0,52,5,0,0,0,0,114,1,0,0,1,255,1,0,0,0,0
0,0,21,9,203,651,0,1,19,19,0,10,0,255,255,10,0,0,0
0,0,47,1,0,0,0,0,216,14,10,1,1,255,14,0,0,10,10
0,0,52,9,0,83,0,1,1,2,0,10,0,61,146,8,0,0,0
0,0,21,9,307,484,0,1,2,2,0,10,0,10,255,10,1,0,0
0,0,21,9,320,1667,0,1,8,30,0,10,0,85,253,10,0,0,0
0,0,4,1,0,0,0,0,251,3,10,0,1,255,3,0,0,10,10
0,0,21,9,215,430,0,1,1,1,0,10,0,40,255,10,0,0,0
0,0,21,9,358,3691,0,1,11,11,0,10,0,81,255,10,0,0,0
8092,0,58,9,0,15,0,0,1,1,0,10,0,255,67,3,0,1,2
0,0,21,9,270,1332,0,1,2,2,0,10,0,7,255,10,1,0,0
0,0,21,9,337,283,0,1,24,29,0,10,0,255,255,10,0,0,0
0,0,47,1,0,0,0,0,267,19,10,1,1,255,19,1,0,10,10
0,0,47,1,0,0,0,0,231,6,10,0,1,255,6,0,0,10,10
0,2,12,9,1480,0,0,0,1,1,0,10,0,1,25,10,10,0,0
0,0,21,9,219,1310,0,1,4,4,0,10,0,4,251,10,2,0,0
0,0,21,9,258,1012,0,1,26,26,0,10,0,255,255,10,0,0,0
0,0,21,9,324,1093,0,1,5,8,0,10,0,69,255,10,0,0,0
0,0,15,2,0,0,0,0,58,19,10,3,1,255,62,2,0,10,10
0,0,45,2,0,36,0,1,3,7,10,3,10,189,60,2,0,9,10
0,0,21,9,236,10503,0,1,3,3,0,10,0,255,255,10,0,0,0
0,0,17,9,1699,0,0,0,1,1,0,10,0,36,7,2,2,0,0
0,0,21,9,327,910,0,1,14,15,0,10,0,14,255,10,1,0,0
0,0,21,9,303,2789,0,1,8,8,0,10,0,255,255,10,0,0,0
0,0,47,1,0,0,0,0,103,4,10,0,1,255,4,0,0,10,10
0,0,42,1,0,0,0,0,1,1,10,10,0,255,13,0,0,1,10
3,0,45,9,28,93,0,1,1,1,0,10,0,255,254,10,0,0,0
0,0,52,9,0,83,0,1,1,1,0,10,0,110,25,2,0,0,0
0,0,21,9,282,4532,0,1,6,6,0,10,0,96,255,10,0,0,0
0,1,9,9,44,113,0,0,3,5,0,10,0,255,253,10,0,0,0
0,0,47,10,0,0,0,0,1,1,0,10,0,30,1,0,10,0,0
0,0,64,2,0,0,0,0,119,7,10,1,1,255,7,0,0,10,10
0,0,42,5,0,0,0,0,497,1,10,0,10,255,1,0,0,10,0
0,0,16,9,26,157,0,0,1,1,0,10,0,155,71,5,0,0,0
0,0,47,1,0,0,0,0,217,6,10,0,1,255,6,0,0,10,10
0,0,47,1,0,0,0,0,106,15,10,1,1,255,15,1,0,10,10
1,0,52,9,995,330,0,1,1,1,0,10,0,62,42,7,0,0,0
0,0,47,1,0,0,0,0,239,12,10,0,1,255,12,0,0,10,10
31,0,58,9,197,1608,1,1,1,1,0,10,0,248,32,1,0,0,0
0,0,21,9,197,1830,0,1,2,2,0,10,0,26,229,10,0,0,0
0,0,47,1,0,0,0,0,117,10,10,1,1,255,10,0,0,10,10
0,0,21,9,230,843,0,1,25,25,0,10,0,25,255,10,0,0,0
0,0,21,9,161,14086,0,1,1,1,0,10,0,151,151,10,0,0,0
0,0,47,1,0,0,0,0,228,15,10,1,1,255,15,1,0,10,10
8080,0,58,9,0,15,0,0,1,1,0,10,0,255,69,3,0,1,2
8124,0,58,9,0,15,0,0,1,1,0,10,0,255,60,2,0,1,2
0,0,21,9,224,278,0,1,3,5,0,10,0,255,255,10,0,0,0
0,0,47,5,0,0,0,0,259,20,0,1,1,255,20,1,0,0,0
0,0,21,9,321,372,0,1,16,17,0,10,0,255,255,10,0,0,0
0,2,12,9,1032,0,0,0,173,173,0,10,0,255,254,10,10,0,0
0,0,67,1,0,0,0,0,282,17,10,1,1,255,17,1,0,10,10
0,1,47,9,48,0,0,0,5,5,0,10,0,255,254,10,0,0,0
0,0,21,9,303,289,0,1,6,11,0,10,0,30,255,10,0,0,0
0,2,12,9,508,0,0,0,511,511,0,10,0,255,192,8,8,2,0
0,0,47,10,0,0,0,0,1,1,0,10,0,80,1,0,10,0,0
0,0,47,1,0,0,0,0,132,12,10,1,0,255,12,0,0,10,10
0,0,15,9,8,447,0,0,1,2,0,10,0,74,10,0,0,0,0
0,1,9,9,43,78,0,0,208,207,0,10,0,255,254,10,0,0,0
0,0,58,9,124,174,0,0,2,2,0,10,0,255,255,10,0,0,0
0,0,47,1,0,0,0,0,226,2,10,0,1,255,2,0,0,10,10
0,0,21,9,257,633,0,1,3,4,0,10,0,171,255,10,0,0,0
0,1,9,9,42,42,0,0,7,12,0,10,0,220,220,10,0,0,0
0,1,9,9,42,42,0,0,13,19,0,10,0,255,255,10,0,0,0
0,0,21,9,219,5881,0,1,1,49,0,10,0,1,255,10,10,0,0
0,0,58,8,0,44,0,0,1,1,0,10,0,255,117,5,0,0,0
0,0,21,9,260,4027,0,1,11,11,0,10,0,105,255,10,0,0,0
7554,0,58,9,0,44,0,0,1,1,0,10,0,255,169,7,0,3,0
0,0,21,9,357,247,0,1,1,3,0,10,0,131,255,10,0,0,0
0,0,47,1,0,0,0,0,218,19,10,1,1,255,19,1,0,10,10
0,1,47,9,43,0,0,0,1,1,0,10,0,255,254,10,0,0,0
0,0,25,2,0,44,0,0,3,3,7,3,7,186,59,2,0,9,10
0,0,21,9,218,287,0,1,15,15,0,10,0,255,255,10,0,0,0
0,0,21,9,290,2267,0,1,4,5,0,10,0,11,254,10,1,0,0
0,1,9,9,42,42,0,0,4,5,0,10,0,255,252,10,0,0,0
0,0,47,1,0,0,0,0,131,5,10,0,1,255,5,0,0,10,10
0,0,47,1,0,0,0,0,269,7,10,0,1,255,7,0,0,10,10
2079,0,21,4,72564,0,0,1,11,11,10,10,0,255,237,9,0,2,2
0,2,11,9,8,0,0,0,1,14,0,10,0,2,98,10,10,0,0
0,0,58,5,0,0,0,0,1,9,0,10,0,160,85,3,0,0,0
